Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
-125.0,-1.0,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
1892911.0,14980.57358739255,80,14980.57358739255,14980.57358739255,10.847627507163324,1381.0,0.0,15.0,10.847627507163324
2589860.0,20609.082013778487,80,20609.082013778487,20609.082013778487,10.979798622151565,1877.0,0.0,10.0,10.979798622151565
2575540.0,20494.5473841236,80,20494.5473841236,20494.5473841236,10.97726158763985,1867.0,0.0,10.0,10.97726158763985
2488520.0,19798.41270121279,80,19798.41270121279,19798.41270121279,10.974729878721059,1804.0,0.0,10.0,10.974729878721059
2481700.0,19743.850967385293,80,19743.850967385293,19743.850967385293,10.974903261470425,1799.0,0.0,10.0,10.974903261470425
2459740.0,19568.171422197433,80,19568.171422197433,19568.171422197433,10.974857780256553,1783.0,0.0,10.0,10.974857780256553
2435600.0,19375.088288288287,80,19375.088288288287,19375.088288288287,10.971171171171171,1766.0,0.0,10.0,10.971171171171171
2384860.0,18969.168211615874,80,18969.168211615874,18969.168211615874,10.971178838412882,1729.0,0.0,10.0,10.971178838412882
2412056.0,19197.604498577122,80,19197.604498577122,19197.604498577122,10.98261126920888,1748.0,0.0,9.0,10.98261126920888
2449240.0,19484.211601343784,80,19484.211601343784,19484.211601343784,10.9708398656215,1776.0,0.0,10.0,10.9708398656215
2546760.0,20264.30586206897,80,20264.30586206897,20264.30586206897,10.97741379310345,1846.0,0.0,10.0,10.97741379310345
2567900.0,20433.402030999467,80,20433.402030999467,20433.402030999467,10.979796900053447,1861.0,0.0,10.0,10.979796900053447
2598180.0,20675.638415213944,80,20675.638415213944,20675.638415213944,10.980158478605388,1883.0,0.0,10.0,10.980158478605388
2582360.0,20549.10911795962,80,20549.10911795962,20549.10911795962,10.977088204038258,1872.0,0.0,10.0,10.977088204038258
2586040.0,20578.509384288747,80,20578.509384288747,20578.509384288747,10.981061571125265,1874.0,0.0,10.0,10.981061571125265
2608820.0,20760.77273014203,80,20760.77273014203,20760.77273014203,10.97872698579695,1891.0,0.0,10.0,10.97872698579695
2627640.0,20911.291786833855,80,20911.291786833855,20911.291786833855,10.98282131661442,1904.0,0.0,10.0,10.98282131661442
2639100.0,21003.00904836193,80,21003.00904836193,21003.00904836193,10.979095163806551,1913.0,0.0,10.0,10.979095163806551
2692700.0,21431.74992350841,80,21431.74992350841,21431.74992350841,10.985007649158591,1951.0,0.0,10.0,10.985007649158591
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2722980.0,21673.98704992436,80,21673.98704992436,21673.98704992436,10.985295007564297,1973.0,0.0,10.0,10.985295007564297
2695020.0,21450.3272949567,80,21450.3272949567,21450.3272949567,10.983270504330108,1953.0,0.0,10.0,10.983270504330108
2620820.0,20856.729931901522,80,20856.729931901522,20856.729931901522,10.983006809848089,1899.0,0.0,10.0,10.983006809848089
2640600.0,21015.003742203742,80,21015.003742203742,21015.003742203742,10.97962577962578,1914.0,0.0,10.0,10.97962577962578
2659420.0,21165.523345379454,80,21165.523345379454,21165.523345379454,10.983665462054724,1927.0,0.0,10.0,10.983665462054724
2629960.0,20929.869561586638,80,20929.869561586638,20929.869561586638,10.981043841336117,1906.0,0.0,10.0,10.981043841336117
2604916.0,20740.40713924051,80,20740.40713924051,20740.40713924051,10.991206751054854,1887.0,0.0,9.0,10.991206751054854
2660240.0,21172.106171310625,80,21172.106171310625,21172.106171310625,10.981382868937047,1928.0,0.0,10.0,10.981382868937047
2636780.0,20984.431358667363,80,20984.431358667363,20984.431358667363,10.980864133263927,1911.0,0.0,10.0,10.980864133263927
2609500.0,20766.184113624407,80,20766.184113624407,20766.184113624407,10.98158863755918,1891.0,0.0,10.0,10.98158863755918
2600500.0,20694.21635883905,80,20694.21635883905,20694.21635883905,10.978364116094987,1885.0,0.0,10.0,10.978364116094987
2533120.0,20155.182318526546,80,20155.182318526546,20155.182318526546,10.977768147345612,1836.0,0.0,10.0,10.977768147345612
2585360.0,20573.098259023354,80,20573.098259023354,20573.098259023354,10.978174097664544,1874.0,0.0,10.0,10.978174097664544
2646600.0,21062.98257261411,80,21062.98257261411,21062.98257261411,10.981742738589212,1918.0,0.0,10.0,10.981742738589212
2626140.0,20899.29710402509,80,20899.29710402509,20899.29710402509,10.982289597490851,1903.0,0.0,10.0,10.982289597490851
2552080.0,20306.873118279567,80,20306.873118279567,20306.873118279567,10.97668817204301,1850.0,0.0,10.0,10.97668817204301
2566400.0,20421.40748663102,80,20421.40748663102,20421.40748663102,10.979251336898397,1860.0,0.0,10.0,10.979251336898397
2524120.0,20083.215652173913,80,20083.215652173913,20083.215652173913,10.974434782608695,1830.0,0.0,10.0,10.974434782608695
2573220.0,20475.969279999998,80,20475.969279999998,20475.969279999998,10.979071999999999,1865.0,0.0,10.0,10.979071999999999
2530148.0,20120.57022751896,80,20120.57022751896,20120.57022751896,10.964888407367281,1835.0,0.0,11.0,10.964888407367281
2463560.0,19609.663108635097,80,19609.663108635097,19609.663108635097,10.979654596100278,1786.0,0.0,9.0,10.979654596100278
2559580.0,20366.845683646112,80,20366.845683646112,20366.845683646112,10.979431635388739,1855.0,0.0,10.0,10.979431635388739
2531620.0,20143.18785907859,80,20143.18785907859,20143.18785907859,10.97721409214092,1835.0,0.0,10.0,10.97721409214092
2468796.0,19651.506313681868,80,19651.506313681868,19651.506313681868,10.984631813125695,1789.0,0.0,9.0,10.984631813125695
2520300.0,20052.64278715297,80,20052.64278715297,20052.64278715297,10.975721284703322,1827.0,0.0,10.0,10.975721284703322
2551260.0,20300.2893598709,80,20300.2893598709,20300.2893598709,10.979064012910168,1849.0,0.0,10.0,10.979064012910168
2577040.0,20506.54193823216,80,20506.54193823216,20506.54193823216,10.977806176783812,1868.0,0.0,10.0,10.977806176783812
2560400.0,20373.4293676313,80,20373.4293676313,20373.4293676313,10.977063236870311,1856.0,0.0,10.0,10.977063236870311
2514980.0,20010.07546099291,80,20010.07546099291,20010.07546099291,10.97645390070922,1823.0,0.0,10.0,10.97645390070922
2570220.0,20451.98018152696,80,20451.98018152696,20451.98018152696,10.97798184730379,1863.0,0.0,10.0,10.97798184730379
2616320.0,20820.74593913956,80,20820.74593913956,20820.74593913956,10.981406086044071,1896.0,0.0,10.0,10.981406086044071
2605000.0,20730.200210748157,80,20730.200210748157,20730.200210748157,10.979978925184405,1888.0,0.0,10.0,10.979978925184405
2533120.0,20155.182318526546,80,20155.182318526546,20155.182318526546,10.977768147345612,1836.0,0.0,10.0,10.977768147345612
