Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size,Subflow Fwd Byutes
-125.0,-1,80,,-1,-1,-1.0,-1.0,-1.0,-1,-1
0.0,-1,80,,-1,-1,0.0,0.0,0.0,-1,-1
0.0,-1,80,,-1,-1,0.0,0.0,0.0,-1,-1
576.0,-1,80,,-1,-1,10.0,0.0,447.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2254.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2229.0,-1,-1
756.0,-1,80,,-1,-1,9.0,0.0,2253.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2248.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2212.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2224.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2211.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2201.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2183.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2190.0,-1,-1
756.0,-1,80,,-1,-1,9.0,0.0,2185.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2202.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2171.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2108.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2104.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2142.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2157.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2078.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2068.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2110.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2090.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2099.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2096.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2127.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2126.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2169.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2195.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2225.0,-1,-1
756.0,-1,80,,-1,-1,9.0,0.0,2183.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2202.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2218.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2171.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2190.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2211.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2186.0,-1,-1
868.0,-1,80,,-1,-1,11.0,0.0,2207.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2172.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2174.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2175.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2152.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2161.0,-1,-1
756.0,-1,80,,-1,-1,9.0,0.0,2178.0,-1,-1
840.0,-1,80,,-1,-1,10.0,0.0,2153.0,-1,-1
