Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size,Subflow Fwd Byutes
-125.0,-1.0,80,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-1.0,80,,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
0.0,-1.0,80,,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
336.0,1.792,80,,1.792,0.448,4.0,0.0,2.0,0.448,1.792
2329944.0,18433.049674635567,80,,18433.049674635567,10.868543440233235,1696.0,0.0,19.0,10.868543440233235,18433.049674635567
3023320.0,24076.62109090909,80,,24076.62109090909,10.99389090909091,2190.0,0.0,10.0,10.99389090909091,24076.62109090909
3037640.0,24191.160180995474,80,,24191.160180995474,10.995981900452488,2200.0,0.0,10.0,10.995981900452488,24191.160180995474
3072420.0,24469.38523489933,80,,24469.38523489933,10.997476510067115,2225.0,0.0,10.0,10.997476510067115,24469.38523489933
3061100.0,24378.836820835204,80,,24378.836820835204,10.996317916479569,2217.0,0.0,10.0,10.996317916479569,24378.836820835204
3093560.0,24638.486755555554,80,,24638.486755555554,10.999324444444444,2240.0,0.0,10.0,10.999324444444444,24638.486755555554
3139800.0,25008.424518388794,80,,25008.424518388794,10.997548161120841,2274.0,0.0,10.0,10.997548161120841,25008.424518388794
3129160.0,24923.29195079086,80,,24923.29195079086,10.998804920913884,2266.0,0.0,10.0,10.998804920913884,24923.29195079086
3112520.0,24790.176961130743,80,,24790.176961130743,10.998303886925795,2254.0,0.0,10.0,10.998303886925795,24790.176961130743
3129160.0,24923.29195079086,80,,24923.29195079086,10.998804920913884,2266.0,0.0,10.0,10.998804920913884,24923.29195079086
3145716.0,25066.65033070866,80,,25066.65033070866,11.008629921259843,2277.0,0.0,9.0,11.008629921259843,25066.65033070866
3083740.0,24559.93373160945,80,,24559.93373160945,10.998626839054836,2233.0,0.0,10.0,10.998626839054836,24559.93373160945
3122340.0,24868.73003963012,80,,24868.73003963012,10.998996036988112,2261.0,0.0,10.0,10.998996036988112,24868.73003963012
3123160.0,24875.309577464788,80,,24875.309577464788,10.997042253521126,2262.0,0.0,10.0,10.997042253521126,24875.309577464788
3133660.0,24959.278771390957,80,,24959.278771390957,11.000122860903904,2269.0,0.0,10.0,11.000122860903904,24959.278771390957
3094380.0,24645.066477121283,80,,24645.066477121283,10.997352287872058,2241.0,0.0,10.0,10.997352287872058,24645.066477121283
3155620.0,25134.96017429194,80,,25134.96017429194,10.9999825708061,2285.0,0.0,10.0,10.9999825708061,25134.96017429194
3094380.0,24645.066477121283,80,,24645.066477121283,10.997352287872058,2241.0,0.0,10.0,10.997352287872058,24645.066477121283
3109520.0,24766.1858178603,80,,24766.1858178603,10.997418213969938,2252.0,0.0,10.0,10.997418213969938,24766.1858178603
3094380.0,24645.066477121283,80,,24645.066477121283,10.997352287872058,2241.0,0.0,10.0,10.997352287872058,24645.066477121283
3097380.0,24669.05757656458,80,,24669.05757656458,10.998242343541945,2243.0,0.0,10.0,10.998242343541945,24669.05757656458
3093560.0,24638.486755555554,80,,24638.486755555554,10.999324444444444,2240.0,0.0,10.0,10.999324444444444,24638.486755555554
3154940.0,25129.543877995646,80,,25129.543877995646,10.99761220043573,2285.0,0.0,10.0,10.99761220043573,25129.543877995646
3118520.0,24838.159294532627,80,,24838.159294532627,11.000070546737213,2258.0,0.0,10.0,11.000070546737213,24838.159294532627
3130688.0,24924.61740763493,80,,24924.61740763493,10.989690215006583,2268.0,0.0,11.0,10.989690215006583,24924.61740763493
3121660.0,24863.313993835316,80,,24863.313993835316,10.996600616468516,2261.0,0.0,10.0,10.996600616468516,24863.313993835316
3132160.0,24958.23936758893,80,,24958.23936758893,11.004514712340798,2268.0,0.0,9.0,11.004514712340798,24958.23936758893
3134396.0,24965.140935498028,80,,24965.140935498028,11.002706450197456,2269.0,0.0,10.0,11.002706450197456,24965.140935498028
