Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size,Subflow Fwd Byutes
-125.0,-1.0,80,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-1.0,80,,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
0.0,-1.0,80,,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
84.0,0.336,80,,0.336,0.336,1.0,1.0,1.0,0.336,0.336
1454.0,0.1539052924791086,80,,0.1539052924791086,0.008100278551532033,19.0,0.0,1417.0,0.008100278551532033,0.1539052924791086
840.0,0.026446280991735537,80,,0.026446280991735537,0.0026446280991735535,10.0,0.0,2531.0,0.0026446280991735535,0.026446280991735537
840.0,0.026373626373626374,80,,0.026373626373626374,0.0026373626373626374,10.0,0.0,2538.0,0.0026373626373626374,0.026373626373626374
840.0,0.026487977926685058,80,,0.026487977926685058,0.002648797792668506,10.0,0.0,2527.0,0.002648797792668506,0.026487977926685058
840.0,0.02646711303662859,80,,0.02646711303662859,0.002646711303662859,10.0,0.0,2529.0,0.002646711303662859,0.02646711303662859
840.0,0.026383981154299175,80,,0.026383981154299175,0.0026383981154299175,10.0,0.0,2537.0,0.0026383981154299175,0.026383981154299175
840.0,0.026498422712933754,80,,0.026498422712933754,0.0026498422712933753,10.0,0.0,2526.0,0.0026498422712933753,0.026498422712933754
840.0,0.02636327971753629,80,,0.02636327971753629,0.002636327971753629,10.0,0.0,2539.0,0.002636327971753629,0.02636327971753629
840.0,0.02636327971753629,80,,0.02636327971753629,0.002636327971753629,10.0,0.0,2539.0,0.002636327971753629,0.02636327971753629
756.0,0.02136263736263736,80,,0.02136263736263736,0.0023736263736263735,9.0,0.0,2539.0,0.0023736263736263735,0.02136263736263736
840.0,0.02646711303662859,80,,0.02646711303662859,0.002646711303662859,10.0,0.0,2529.0,0.002646711303662859,0.02646711303662859
840.0,0.02642548171451042,80,,0.02642548171451042,0.002642548171451042,10.0,0.0,2533.0,0.002642548171451042,0.02642548171451042
840.0,0.02647754137115839,80,,0.02647754137115839,0.002647754137115839,10.0,0.0,2528.0,0.002647754137115839,0.02647754137115839
840.0,0.026519337016574586,80,,0.026519337016574586,0.0026519337016574587,10.0,0.0,2524.0,0.0026519337016574587,0.026519337016574586
840.0,0.026456692913385822,80,,0.026456692913385822,0.0026456692913385824,10.0,0.0,2530.0,0.0026456692913385824,0.026456692913385822
840.0,0.026435877261998426,80,,0.026435877261998426,0.0026435877261998426,10.0,0.0,2532.0,0.0026435877261998426,0.026435877261998426
840.0,0.026456692913385822,80,,0.026456692913385822,0.0026456692913385824,10.0,0.0,2530.0,0.0026456692913385824,0.026456692913385822
840.0,0.02641509433962264,80,,0.02641509433962264,0.002641509433962264,10.0,0.0,2534.0,0.002641509433962264,0.02641509433962264
840.0,0.026519337016574586,80,,0.026519337016574586,0.0026519337016574587,10.0,0.0,2524.0,0.0026519337016574587,0.026519337016574586
840.0,0.026404715127701373,80,,0.026404715127701373,0.0026404715127701373,10.0,0.0,2535.0,0.0026404715127701373,0.026404715127701373
840.0,0.026404715127701373,80,,0.026404715127701373,0.0026404715127701373,10.0,0.0,2535.0,0.0026404715127701373,0.026404715127701373
840.0,0.026394344069128044,80,,0.026394344069128044,0.002639434406912804,10.0,0.0,2536.0,0.002639434406912804,0.026394344069128044
840.0,0.02642548171451042,80,,0.02642548171451042,0.002642548171451042,10.0,0.0,2533.0,0.002642548171451042,0.02642548171451042
840.0,0.026508875739644968,80,,0.026508875739644968,0.002650887573964497,10.0,0.0,2525.0,0.002650887573964497,0.026508875739644968
840.0,0.02641509433962264,80,,0.02641509433962264,0.002641509433962264,10.0,0.0,2534.0,0.002641509433962264,0.02641509433962264
840.0,0.026456692913385822,80,,0.026456692913385822,0.0026456692913385824,10.0,0.0,2530.0,0.0026456692913385824,0.026456692913385822
