Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size
-125.0,-1.0,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
1045664.0,8184.612757306226,80,8184.612757306226,8184.612757306226,10.629367217280812,770.0,0.0,17.0,10.629367217280812
3266100.0,26018.784,80,26018.784,26018.784,11.0016,2365.0,0.0,10.0,11.0016
3261460.0,25981.63495571489,80,25981.63495571489,25981.63495571489,11.004504428511177,2361.0,0.0,10.0,11.004504428511177
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3255376.0,25943.90141564482,80,25943.90141564482,25943.90141564482,11.011842706131079,2356.0,0.0,9.0,11.011842706131079
3256280.0,25940.230540540542,80,25940.230540540542,25940.230540540542,11.000945945945947,2358.0,0.0,10.0,11.000945945945947
3272100.0,26066.767213114756,80,26066.767213114756,26066.767213114756,11.00327868852459,2369.0,0.0,10.0,11.00327868852459
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3257780.0,25952.226323343184,80,25952.226323343184,25952.226323343184,11.001367665681723,2359.0,0.0,10.0,11.001367665681723
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3259280.0,25964.222109704642,80,25964.222109704642,25964.222109704642,11.001789029535866,2360.0,0.0,10.0,11.001789029535866
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3257780.0,25952.226323343184,80,25952.226323343184,25952.226323343184,11.001367665681723,2359.0,0.0,10.0,11.001367665681723
3241820.0,25824.52792532881,80,25824.52792532881,25824.52792532881,11.00320746711922,2347.0,0.0,10.0,11.00320746711922
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3245640.0,25855.098305084746,80,25855.098305084746,25855.098305084746,11.002169491525423,2350.0,0.0,10.0,11.002169491525423
3258460.0,25957.643360067537,80,25957.643360067537,25957.643360067537,11.003663993246095,2359.0,0.0,10.0,11.003663993246095
3264600.0,26006.78820556024,80,26006.78820556024,26006.78820556024,11.001179443976412,2364.0,0.0,10.0,11.001179443976412
3273516.0,26089.013974768714,80,26089.013974768714,26089.013974768714,11.012669470142978,2369.0,0.0,9.0,11.012669470142978
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3256280.0,25940.230540540542,80,25940.230540540542,25940.230540540542,11.000945945945947,2358.0,0.0,10.0,11.000945945945947
3232000.0,25745.974468085107,80,25745.974468085107,25745.974468085107,11.002553191489362,2340.0,0.0,10.0,11.002553191489362
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3266780.0,26024.201094736844,80,26024.201094736844,26024.201094736844,11.00389052631579,2365.0,0.0,10.0,11.00389052631579
3217680.0,25631.433846153846,80,25631.433846153846,25631.433846153846,11.000615384615385,2330.0,0.0,10.0,11.000615384615385
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3235820.0,25776.544870378242,80,25776.544870378242,25776.544870378242,11.001512962175946,2343.0,0.0,10.0,11.001512962175946
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3245640.0,25855.098305084746,80,25855.098305084746,25855.098305084746,11.002169491525423,2350.0,0.0,10.0,11.002169491525423
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3244140.0,25843.102534972444,80,25843.102534972444,25843.102534972444,11.001746502755404,2349.0,0.0,10.0,11.001746502755404
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3260780.0,25976.217899620413,80,25976.217899620413,25976.217899620413,11.002210037958667,2361.0,0.0,10.0,11.002210037958667
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3260696.0,25986.46706627269,80,25986.46706627269,25986.46706627269,11.011214858590122,2360.0,0.0,9.0,11.011214858590122
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3238820.0,25800.536390658173,80,25800.536390658173,25800.536390658173,11.00236093418259,2345.0,0.0,10.0,11.00236093418259
3266100.0,26018.784,80,26018.784,26018.784,11.0016,2365.0,0.0,10.0,11.0016
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3245640.0,25855.098305084746,80,25855.098305084746,25855.098305084746,11.002169491525423,2350.0,0.0,10.0,11.002169491525423
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3238820.0,25800.536390658173,80,25800.536390658173,25800.536390658173,11.00236093418259,2345.0,0.0,10.0,11.00236093418259
3242668.0,25820.430955932206,80,25820.430955932206,25820.430955932206,10.992094915254238,2349.0,0.0,11.0,10.992094915254238
3235820.0,25776.544870378242,80,25776.544870378242,25776.544870378242,11.001512962175946,2343.0,0.0,10.0,11.001512962175946
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3273600.0,26078.763025210083,80,26078.763025210083,26078.763025210083,11.003697478991596,2370.0,0.0,10.0,11.003697478991596
3256280.0,25940.230540540542,80,25940.230540540542,25940.230540540542,11.000945945945947,2358.0,0.0,10.0,11.000945945945947
3235820.0,25776.544870378242,80,25776.544870378242,25776.544870378242,11.001512962175946,2343.0,0.0,10.0,11.001512962175946
3259876.0,25979.89014864865,80,25979.89014864865,25979.89014864865,11.013094594594595,2359.0,0.0,9.0,11.013094594594595
3250960.0,25897.664433164133,80,25897.664433164133,25897.664433164133,11.001556683587141,2354.0,0.0,10.0,11.001556683587141
3247140.0,25867.094078780177,80,25867.094078780177,25867.094078780177,11.002592121982211,2351.0,0.0,10.0,11.002592121982211
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3267600.0,26030.779797979798,80,26030.779797979798,26030.779797979798,11.002020202020201,2366.0,0.0,10.0,11.002020202020201
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3262196.0,25998.463311392406,80,25998.463311392406,25998.463311392406,11.011632067510549,2361.0,0.0,9.0,11.011632067510549
3242640.0,25831.106768447837,80,25831.106768447837,25831.106768447837,11.001323155216285,2348.0,0.0,10.0,11.001323155216285
3272100.0,26066.767213114756,80,26066.767213114756,26066.767213114756,11.00327868852459,2369.0,0.0,10.0,11.00327868852459
3266100.0,26018.784,80,26018.784,26018.784,11.0016,2365.0,0.0,10.0,11.0016
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3259280.0,25964.222109704642,80,25964.222109704642,25964.222109704642,11.001789029535866,2360.0,0.0,10.0,11.001789029535866
3270600.0,26054.771404541632,80,26054.771404541632,26054.771404541632,11.002859545836838,2368.0,0.0,10.0,11.002859545836838
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3275920.0,26097.337497900924,80,26097.337497900924,26097.337497900924,11.002250209907642,2372.0,0.0,10.0,11.002250209907642
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3259280.0,25964.222109704642,80,25964.222109704642,25964.222109704642,11.001789029535866,2360.0,0.0,10.0,11.001789029535866
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3255460.0,25933.65177862273,80,25933.65177862273,25933.65177862273,11.002822137727081,2357.0,0.0,10.0,11.002822137727081
3270600.0,26054.771404541632,80,26054.771404541632,26054.771404541632,11.002859545836838,2368.0,0.0,10.0,11.002859545836838
3258460.0,25957.643360067537,80,25957.643360067537,25957.643360067537,11.003663993246095,2359.0,0.0,10.0,11.003663993246095
3239556.0,25817.36217502124,80,25817.36217502124,25817.36217502124,11.009536108751062,2345.0,0.0,9.0,11.009536108751062
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3266780.0,26024.201094736844,80,26024.201094736844,26024.201094736844,11.00389052631579,2365.0,0.0,10.0,11.00389052631579
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3267600.0,26030.779797979798,80,26030.779797979798,26030.779797979798,11.002020202020201,2366.0,0.0,10.0,11.002020202020201
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3262308.0,25977.53598652064,80,25977.53598652064,25977.53598652064,10.993455770850884,2363.0,0.0,11.0,10.993455770850884
3258460.0,25957.643360067537,80,25957.643360067537,25957.643360067537,11.003663993246095,2359.0,0.0,10.0,11.003663993246095
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3256280.0,25940.230540540542,80,25940.230540540542,25940.230540540542,11.000945945945947,2358.0,0.0,10.0,11.000945945945947
3259960.0,25969.639156118144,80,25969.639156118144,25969.639156118144,11.004084388185655,2360.0,0.0,10.0,11.004084388185655
3241140.0,25819.111005515482,80,25819.111005515482,25819.111005515482,11.00089944845142,2347.0,0.0,10.0,11.00089944845142
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
3247960.0,25873.672887383575,80,25873.672887383575,25873.672887383575,11.000711261642676,2352.0,0.0,10.0,11.000711261642676
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3265280.0,26012.205290648697,80,26012.205290648697,26012.205290648697,11.003470935130583,2364.0,0.0,10.0,11.003470935130583
3250876.0,25907.912711261644,80,25907.912711261644,25907.912711261644,11.01058763759526,2353.0,0.0,9.0,11.01058763759526
3267600.0,26030.779797979798,80,26030.779797979798,26030.779797979798,11.002020202020201,2366.0,0.0,10.0,11.002020202020201
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3248640.0,25879.08985605419,80,25879.08985605419,25879.08985605419,11.003014394580863,2352.0,0.0,10.0,11.003014394580863
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3267600.0,26030.779797979798,80,26030.779797979798,26030.779797979798,11.002020202020201,2366.0,0.0,10.0,11.002020202020201
3258460.0,25957.643360067537,80,25957.643360067537,25957.643360067537,11.003663993246095,2359.0,0.0,10.0,11.003663993246095
3269100.0,26042.77559949516,80,26042.77559949516,26042.77559949516,11.002440050483802,2367.0,0.0,10.0,11.002440050483802
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3272100.0,26066.767213114756,80,26066.767213114756,26066.767213114756,11.00327868852459,2369.0,0.0,10.0,11.00327868852459
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3260780.0,25976.217899620413,80,25976.217899620413,25976.217899620413,11.002210037958667,2361.0,0.0,10.0,11.002210037958667
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3246460.0,25861.677119864464,80,25861.677119864464,25861.677119864464,11.000288013553579,2351.0,0.0,10.0,11.000288013553579
3261460.0,25981.63495571489,80,25981.63495571489,25981.63495571489,11.004504428511177,2361.0,0.0,10.0,11.004504428511177
3266100.0,26018.784,80,26018.784,26018.784,11.0016,2365.0,0.0,10.0,11.0016
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3268196.0,26046.448323504635,80,26046.448323504635,26046.448323504635,11.013297388374053,2365.0,0.0,9.0,11.013297388374053
3257780.0,25952.226323343184,80,25952.226323343184,25952.226323343184,11.001367665681723,2359.0,0.0,10.0,11.001367665681723
3250960.0,25897.664433164133,80,25897.664433164133,25897.664433164133,11.001556683587141,2354.0,0.0,10.0,11.001556683587141
3256960.0,25945.64756756757,80,25945.64756756757,25945.64756756757,11.003243243243244,2358.0,0.0,10.0,11.003243243243244
3258460.0,25957.643360067537,80,25957.643360067537,25957.643360067537,11.003663993246095,2359.0,0.0,10.0,11.003663993246095
3249460.0,25885.668658484978,80,25885.668658484978,25885.668658484978,11.001134151502328,2353.0,0.0,10.0,11.001134151502328
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3267600.0,26030.779797979798,80,26030.779797979798,26030.779797979798,11.002020202020201,2366.0,0.0,10.0,11.002020202020201
3251640.0,25903.081421319795,80,25903.081421319795,25903.081421319795,11.003857868020305,2354.0,0.0,10.0,11.003857868020305
3260780.0,25976.217899620413,80,25976.217899620413,25976.217899620413,11.002210037958667,2361.0,0.0,10.0,11.002210037958667
3245640.0,25855.098305084746,80,25855.098305084746,25855.098305084746,11.002169491525423,2350.0,0.0,10.0,11.002169491525423
3252460.0,25909.660211416493,80,25909.660211416493,25909.660211416493,11.001978858350952,2355.0,0.0,10.0,11.001978858350952
3260780.0,25976.217899620413,80,25976.217899620413,25976.217899620413,11.002210037958667,2361.0,0.0,10.0,11.002210037958667
3275100.0,26090.758840823186,80,26090.758840823186,26090.758840823186,11.004115917681647,2371.0,0.0,10.0,11.004115917681647
3255376.0,25943.90141564482,80,25943.90141564482,25943.90141564482,11.011842706131079,2356.0,0.0,9.0,11.011842706131079
3244168.0,25832.4262600593,80,25832.4262600593,25832.4262600593,10.99252181279119,2350.0,0.0,11.0,10.99252181279119
3266100.0,26018.784,80,26018.784,26018.784,11.0016,2365.0,0.0,10.0,11.0016
3263780.0,26000.209490096924,80,26000.209490096924,26000.209490096924,11.003050990307628,2363.0,0.0,10.0,11.003050990307628
3259280.0,25964.222109704642,80,25964.222109704642,25964.222109704642,11.001789029535866,2360.0,0.0,10.0,11.001789029535866
3262280.0,25988.213693086003,80,25988.213693086003,25988.213693086003,11.002630691399663,2362.0,0.0,10.0,11.002630691399663
3261460.0,25981.63495571489,80,25981.63495571489,25981.63495571489,11.004504428511177,2361.0,0.0,10.0,11.004504428511177
3253960.0,25921.655993237535,80,25921.655993237535,25921.655993237535,11.00240067624683,2356.0,0.0,10.0,11.00240067624683
