Flow Bytes /s,BWD Packet Length Std,Destination Port,Subflow Fwd Bytes,Total Length of Fwd Packets,Init_Win_bytes_forward,act_data_pkt_fwd,Fwd IAT Min,Bwd Packets /s,Average Packet Size
-125.0,-1.0,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
0.0,-1.0,80,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
336.0,1.344,80,1.344,1.344,0.336,4.0,0.0,4.0,0.336
2175768.0,17210.813206982544,80,17210.813206982544,17210.813206982544,10.85171072319202,1586.0,0.0,18.0,10.85171072319202
2679880.0,21329.208852459018,80,21329.208852459018,21329.208852459018,10.983114754098361,1942.0,0.0,10.0,10.983114754098361
2688116.0,21405.978944785278,80,21405.978944785278,21405.978944785278,10.994339468302659,1947.0,0.0,9.0,10.994339468302659
2670060.0,21250.657480719794,80,21250.657480719794,21250.657480719794,10.982251928020565,1935.0,0.0,10.0,10.982251928020565
2646600.0,21062.98257261411,80,21062.98257261411,21062.98257261411,10.981742738589212,1918.0,0.0,10.0,10.981742738589212
2667740.0,21232.079958826555,80,21232.079958826555,21232.079958826555,10.984004117344313,1933.0,0.0,10.0,10.984004117344313
2681380.0,21341.203645673326,80,21341.203645673326,21341.203645673326,10.983635432667691,1943.0,0.0,10.0,10.983635432667691
2700340.0,21492.894275546518,80,21492.894275546518,21492.894275546518,10.982572445348247,1957.0,0.0,10.0,10.982572445348247
2689700.0,21407.76028586013,80,21407.76028586013,21407.76028586013,10.983971413986728,1949.0,0.0,10.0,10.983971413986728
2657920.0,21153.528595041324,80,21153.528595041324,21153.528595041324,10.983140495867769,1926.0,0.0,10.0,10.983140495867769
2667060.0,21226.667956767884,80,21226.667956767884,21226.667956767884,10.981204323211529,1933.0,0.0,10.0,10.981204323211529
2676880.0,21305.219282051283,80,21305.219282051283,21305.219282051283,10.982071794871795,1940.0,0.0,10.0,10.982071794871795
2624640.0,20887.302426778242,80,20887.302426778242,20887.302426778242,10.981757322175731,1902.0,0.0,10.0,10.981757322175731
2681380.0,21341.203645673326,80,21341.203645673326,21341.203645673326,10.983635432667691,1943.0,0.0,10.0,10.983635432667691
2660240.0,21172.106171310625,80,21172.106171310625,21172.106171310625,10.981382868937047,1928.0,0.0,10.0,10.981382868937047
2692700.0,21431.74992350841,80,21431.74992350841,21431.74992350841,10.985007649158591,1951.0,0.0,10.0,10.985007649158591
2650420.0,21093.554924909375,80,21093.554924909375,21093.554924909375,10.980507509062662,1921.0,0.0,10.0,10.980507509062662
2678380.0,21317.21406458227,80,21317.21406458227,21317.21406458227,10.98259354177345,1941.0,0.0,10.0,10.98259354177345
2667740.0,21232.079958826555,80,21232.079958826555,21232.079958826555,10.984004117344313,1933.0,0.0,10.0,10.984004117344313
2645016.0,21061.197531428574,80,21061.197531428574,21061.197531428574,10.992274285714286,1916.0,0.0,9.0,10.992274285714286
2676880.0,21305.219282051283,80,21305.219282051283,21305.219282051283,10.982071794871795,1940.0,0.0,10.0,10.982071794871795
2662420.0,21189.512862300155,80,21189.512862300155,21189.512862300155,10.984713769984529,1929.0,0.0,10.0,10.984713769984529
2668560.0,21238.66271604938,80,21238.66271604938,21238.66271604938,10.981728395061728,1934.0,0.0,10.0,10.981728395061728
2667060.0,21226.667956767884,80,21226.667956767884,21226.667956767884,10.981204323211529,1933.0,0.0,10.0,10.981204323211529
2617820.0,20832.74059779759,80,20832.74059779759,20832.74059779759,10.981940220241217,1897.0,0.0,10.0,10.981940220241217
2656420.0,21141.5338501292,80,21141.5338501292,21141.5338501292,10.982614987080103,1925.0,0.0,10.0,10.982614987080103
2671588.0,21252.016246406572,80,21252.016246406572,21252.016246406572,10.971613963039015,1937.0,0.0,11.0,10.971613963039015
2620140.0,20851.318428496594,80,20851.318428496594,20851.318428496594,10.980157150340492,1899.0,0.0,10.0,10.980157150340492
2666240.0,21220.08519052523,80,21220.08519052523,21220.08519052523,10.983480947476828,1932.0,0.0,10.0,10.983480947476828
2661740.0,21184.100917998967,80,21184.100917998967,21184.100917998967,10.981908200103145,1929.0,0.0,10.0,10.981908200103145
2686700.0,21383.770669391928,80,21383.770669391928,21383.770669391928,10.982933060807358,1947.0,0.0,10.0,10.982933060807358
2701840.0,21504.889105691058,80,21504.889105691058,21504.889105691058,10.98308943089431,1958.0,0.0,10.0,10.98308943089431
2686700.0,21383.770669391928,80,21383.770669391928,21383.770669391928,10.982933060807358,1947.0,0.0,10.0,10.982933060807358
2702520.0,21510.301463414635,80,21510.301463414635,21510.301463414635,10.985853658536586,1958.0,0.0,10.0,10.985853658536586
2708660.0,21570.383691683568,80,21570.383691683568,21570.383691683568,10.988478701825557,1963.0,0.0,9.0,10.988478701825557
2702436.0,21509.57702897814,80,21509.57702897814,21509.57702897814,10.991097102186071,1957.0,0.0,10.0,10.991097102186071
2705660.0,21535.461227803145,80,21535.461227803145,21535.461227803145,10.981877219685439,1961.0,0.0,10.0,10.981877219685439
2688200.0,21395.76547497446,80,21395.76547497446,21395.76547497446,10.983452502553625,1948.0,0.0,10.0,10.983452502553625
2687380.0,21389.182871742465,80,21389.182871742465,21389.182871742465,10.985712825753705,1947.0,0.0,10.0,10.985712825753705
2719980.0,21649.99729429581,80,21649.99729429581,21649.99729429581,10.98427057041898,1971.0,0.0,10.0,10.98427057041898
2698840.0,21480.89945066124,80,21480.89945066124,21480.89945066124,10.98205493387589,1956.0,0.0,10.0,10.98205493387589
2701020.0,21498.30661921708,80,21498.30661921708,21498.30661921708,10.985338078291814,1957.0,0.0,10.0,10.985338078291814
2689700.0,21407.76028586013,80,21407.76028586013,21407.76028586013,10.983971413986728,1949.0,0.0,10.0,10.983971413986728
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2702520.0,21510.301463414635,80,21510.301463414635,21510.301463414635,10.985853658536586,1958.0,0.0,10.0,10.985853658536586
2700340.0,21492.894275546518,80,21492.894275546518,21492.894275546518,10.982572445348247,1957.0,0.0,10.0,10.982572445348247
2671560.0,21262.65225077081,80,21262.65225077081,21262.65225077081,10.982774922918807,1936.0,0.0,10.0,10.982774922918807
2699520.0,21486.311780264496,80,21486.311780264496,21486.311780264496,10.984821973550355,1956.0,0.0,10.0,10.984821973550355
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2699520.0,21486.311780264496,80,21486.311780264496,21486.311780264496,10.984821973550355,1956.0,0.0,10.0,10.984821973550355
2693520.0,21438.332477064218,80,21438.332477064218,21438.332477064218,10.982752293577981,1952.0,0.0,10.0,10.982752293577981
2704840.0,21539.812696800407,80,21539.812696800407,21539.812696800407,10.989700355510411,1960.0,0.0,9.0,10.989700355510411
2678324.0,21305.8478852459,80,21305.8478852459,21305.8478852459,10.976737704918033,1941.0,0.0,11.0,10.976737704918033
2685880.0,21377.188057259715,80,21377.188057259715,21377.188057259715,10.98519427402863,1946.0,0.0,10.0,10.98519427402863
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2703340.0,21516.883941086846,80,21516.883941086846,21516.883941086846,10.983605891315388,1959.0,0.0,10.0,10.983605891315388
2709340.0,21564.86333502281,80,21564.86333502281,21564.86333502281,10.98566649771921,1963.0,0.0,10.0,10.98566649771921
2696520.0,21462.32211812627,80,21462.32211812627,21462.32211812627,10.983788187372708,1954.0,0.0,10.0,10.983788187372708
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2676060.0,21298.63659312468,80,21298.63659312468,21298.63659312468,10.984340687532068,1939.0,0.0,10.0,10.984340687532068
2700340.0,21492.894275546518,80,21492.894275546518,21492.894275546518,10.982572445348247,1957.0,0.0,10.0,10.982572445348247
2687380.0,21389.182871742465,80,21389.182871742465,21389.182871742465,10.985712825753705,1947.0,0.0,10.0,10.985712825753705
2700340.0,21492.894275546518,80,21492.894275546518,21492.894275546518,10.982572445348247,1957.0,0.0,10.0,10.982572445348247
2698020.0,21474.316946564883,80,21474.316946564883,21474.316946564883,10.98430534351145,1955.0,0.0,10.0,10.98430534351145
2704840.0,21528.878781725893,80,21528.878781725893,21528.878781725893,10.984121827411169,1960.0,0.0,10.0,10.984121827411169
2691200.0,21419.755102040814,80,21419.755102040814,21419.755102040814,10.984489795918366,1950.0,0.0,10.0,10.984489795918366
2701840.0,21504.889105691058,80,21504.889105691058,21504.889105691058,10.98308943089431,1958.0,0.0,10.0,10.98308943089431
2673060.0,21274.647026194143,80,21274.647026194143,21274.647026194143,10.983297380585515,1937.0,0.0,10.0,10.983297380585515
2691936.0,21436.55007656968,80,21436.55007656968,21436.55007656968,10.993102603369067,1950.0,0.0,9.0,10.993102603369067
2694200.0,21443.744750254842,80,21443.744750254842,21443.744750254842,10.9855249745158,1952.0,0.0,10.0,10.9855249745158
2686700.0,21383.770669391928,80,21383.770669391928,21383.770669391928,10.982933060807358,1947.0,0.0,10.0,10.982933060807358
2698840.0,21480.89945066124,80,21480.89945066124,21480.89945066124,10.98205493387589,1956.0,0.0,10.0,10.98205493387589
2695700.0,21455.739582272032,80,21455.739582272032,21455.739582272032,10.986041772796739,1953.0,0.0,10.0,10.986041772796739
2673880.0,21281.22973305955,80,21281.22973305955,21281.22973305955,10.981026694045175,1938.0,0.0,10.0,10.981026694045175
2707840.0,21552.86847870183,80,21552.86847870183,21552.86847870183,10.985152129817445,1962.0,0.0,10.0,10.985152129817445
2663240.0,21196.095670103092,80,21196.095670103092,21196.095670103092,10.982432989690722,1930.0,0.0,10.0,10.982432989690722
2673060.0,21274.647026194143,80,21274.647026194143,21274.647026194143,10.983297380585515,1937.0,0.0,10.0,10.983297380585515
2682200.0,21347.786284544523,80,21347.786284544523,21347.786284544523,10.981371545547594,1944.0,0.0,10.0,10.981371545547594
2677588.0,21299.99306557377,80,21299.99306557377,21299.99306557377,10.97372131147541,1941.0,0.0,11.0,10.97372131147541
2688200.0,21395.76547497446,80,21395.76547497446,21395.76547497446,10.983452502553625,1948.0,0.0,10.0,10.983452502553625
2686700.0,21383.770669391928,80,21383.770669391928,21383.770669391928,10.982933060807358,1947.0,0.0,10.0,10.982933060807358
2688200.0,21395.76547497446,80,21395.76547497446,21395.76547497446,10.983452502553625,1948.0,0.0,10.0,10.983452502553625
2673060.0,21274.647026194143,80,21274.647026194143,21274.647026194143,10.983297380585515,1937.0,0.0,10.0,10.983297380585515
2673060.0,21274.647026194143,80,21274.647026194143,21274.647026194143,10.983297380585515,1937.0,0.0,10.0,10.983297380585515
2665560.0,21214.673202883623,80,21214.673202883623,21214.673202883623,10.980679711637487,1932.0,0.0,10.0,10.980679711637487
2699520.0,21486.311780264496,80,21486.311780264496,21486.311780264496,10.984821973550355,1956.0,0.0,10.0,10.984821973550355
2669976.0,21260.86910550695,80,21260.86910550695,21260.86910550695,10.993210499227999,1934.0,0.0,9.0,10.993210499227999
2679880.0,21329.208852459018,80,21329.208852459018,21329.208852459018,10.983114754098361,1942.0,0.0,10.0,10.983114754098361
2698020.0,21474.316946564883,80,21474.316946564883,21474.316946564883,10.98430534351145,1955.0,0.0,10.0,10.98430534351145
2688200.0,21395.76547497446,80,21395.76547497446,21395.76547497446,10.983452502553625,1948.0,0.0,10.0,10.983452502553625
2681380.0,21341.203645673326,80,21341.203645673326,21341.203645673326,10.983635432667691,1943.0,0.0,10.0,10.983635432667691
2701840.0,21504.889105691058,80,21504.889105691058,21504.889105691058,10.98308943089431,1958.0,0.0,10.0,10.98308943089431
2701020.0,21498.30661921708,80,21498.30661921708,21498.30661921708,10.985338078291814,1957.0,0.0,10.0,10.985338078291814
2701840.0,21504.889105691058,80,21504.889105691058,21504.889105691058,10.98308943089431,1958.0,0.0,10.0,10.98308943089431
2679880.0,21329.208852459018,80,21329.208852459018,21329.208852459018,10.983114754098361,1942.0,0.0,10.0,10.983114754098361
2683700.0,21359.781074168794,80,21359.781074168794,21359.781074168794,10.981892583120203,1945.0,0.0,10.0,10.981892583120203
2702520.0,21510.301463414635,80,21510.301463414635,21510.301463414635,10.985853658536586,1958.0,0.0,10.0,10.985853658536586
2704840.0,21528.878781725893,80,21528.878781725893,21528.878781725893,10.984121827411169,1960.0,0.0,10.0,10.984121827411169
2686700.0,21383.770669391928,80,21383.770669391928,21383.770669391928,10.982933060807358,1947.0,0.0,10.0,10.982933060807358
2692020.0,21426.33766445691,80,21426.33766445691,21426.33766445691,10.982233554309026,1951.0,0.0,10.0,10.982233554309026
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2707840.0,21552.86847870183,80,21552.86847870183,21552.86847870183,10.985152129817445,1962.0,0.0,10.0,10.985152129817445
2711660.0,21583.440607594937,80,21583.440607594937,21583.440607594937,10.983939240506329,1965.0,0.0,10.0,10.983939240506329
2699436.0,21496.52700610998,80,21496.52700610998,21496.52700610998,10.995665987780042,1955.0,0.0,9.0,10.995665987780042
2689700.0,21407.76028586013,80,21407.76028586013,21407.76028586013,10.983971413986728,1949.0,0.0,10.0,10.983971413986728
2710188.0,21560.807368421054,80,21560.807368421054,21560.807368421054,10.97242105263158,1965.0,0.0,11.0,10.97242105263158
2711660.0,21583.440607594937,80,21583.440607594937,21583.440607594937,10.983939240506329,1965.0,0.0,10.0,10.983939240506329
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2696520.0,21462.32211812627,80,21462.32211812627,21462.32211812627,10.983788187372708,1954.0,0.0,10.0,10.983788187372708
2722980.0,21673.98704992436,80,21673.98704992436,21673.98704992436,10.985295007564297,1973.0,0.0,10.0,10.985295007564297
2701020.0,21498.30661921708,80,21498.30661921708,21498.30661921708,10.985338078291814,1957.0,0.0,10.0,10.985338078291814
2738120.0,21795.105636910732,80,21795.105636910732,21795.105636910732,10.98543630892678,1984.0,0.0,10.0,10.98543630892678
2708660.0,21559.450907247843,80,21559.450907247843,21559.450907247843,10.982909275215407,1963.0,0.0,10.0,10.982909275215407
2714660.0,21607.43032878098,80,21607.43032878098,21607.43032878098,10.984967121901871,1967.0,0.0,10.0,10.984967121901871
2716980.0,21626.007559373422,80,21626.007559373422,21626.007559373422,10.983244062657908,1969.0,0.0,10.0,10.983244062657908
2702520.0,21510.301463414635,80,21510.301463414635,21510.301463414635,10.985853658536586,1958.0,0.0,10.0,10.985853658536586
2698840.0,21480.89945066124,80,21480.89945066124,21480.89945066124,10.98205493387589,1956.0,0.0,10.0,10.98205493387589
2719160.0,21643.41494949495,80,21643.41494949495,21643.41494949495,10.98650505050505,1970.0,0.0,10.0,10.98650505050505
2722980.0,21673.98704992436,80,21673.98704992436,21673.98704992436,10.985295007564297,1973.0,0.0,10.0,10.985295007564297
2704840.0,21528.878781725893,80,21528.878781725893,21528.878781725893,10.984121827411169,1960.0,0.0,10.0,10.984121827411169
2725216.0,21702.779158850226,80,21702.779158850226,21702.779158850226,10.994315683308118,1974.0,0.0,9.0,10.994315683308118
2711660.0,21583.440607594937,80,21583.440607594937,21583.440607594937,10.983939240506329,1965.0,0.0,10.0,10.983939240506329
2714660.0,21607.43032878098,80,21607.43032878098,21607.43032878098,10.984967121901871,1967.0,0.0,10.0,10.984967121901871
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2717660.0,21631.4200707428,80,21631.4200707428,21631.4200707428,10.98599292572006,1969.0,0.0,10.0,10.98599292572006
2708660.0,21559.450907247843,80,21559.450907247843,21559.450907247843,10.982909275215407,1963.0,0.0,10.0,10.982909275215407
2711660.0,21594.374468085105,80,21594.374468085105,21594.374468085105,10.98950354609929,1965.0,0.0,9.0,10.98950354609929
2735800.0,21776.528514056226,80,21776.528514056226,21776.528514056226,10.98714859437751,1982.0,0.0,10.0,10.98714859437751
2700340.0,21492.894275546518,80,21492.894275546518,21492.894275546518,10.982572445348247,1957.0,0.0,10.0,10.982572445348247
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2707840.0,21552.86847870183,80,21552.86847870183,21552.86847870183,10.985152129817445,1962.0,0.0,10.0,10.985152129817445
2698868.0,21470.262910569105,80,21470.262910569105,21470.262910569105,10.9710081300813,1957.0,0.0,11.0,10.9710081300813
2710840.0,21576.85819655522,80,21576.85819655522,21576.85819655522,10.986180344478218,1964.0,0.0,10.0,10.986180344478218
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2711660.0,21583.440607594937,80,21583.440607594937,21583.440607594937,10.983939240506329,1965.0,0.0,10.0,10.983939240506329
2718480.0,21638.002424242422,80,21638.002424242422,21638.002424242422,10.983757575757576,1970.0,0.0,10.0,10.983757575757576
2732716.0,21762.756394366195,80,21762.756394366195,21762.756394366195,10.996845070422534,1979.0,0.0,9.0,10.996845070422534
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
2703340.0,21516.883941086846,80,21516.883941086846,21516.883941086846,10.983605891315388,1959.0,0.0,10.0,10.983605891315388
2719980.0,21649.99729429581,80,21649.99729429581,21649.99729429581,10.98427057041898,1971.0,0.0,10.0,10.98427057041898
2702520.0,21510.301463414635,80,21510.301463414635,21510.301463414635,10.985853658536586,1958.0,0.0,10.0,10.985853658536586
2716980.0,21626.007559373422,80,21626.007559373422,21626.007559373422,10.983244062657908,1969.0,0.0,10.0,10.983244062657908
2728300.0,21716.55400100654,80,21716.55400100654,21716.55400100654,10.984599899345747,1977.0,0.0,10.0,10.984599899345747
2701020.0,21498.30661921708,80,21498.30661921708,21498.30661921708,10.985338078291814,1957.0,0.0,10.0,10.985338078291814
2716980.0,21626.007559373422,80,21626.007559373422,21626.007559373422,10.983244062657908,1969.0,0.0,10.0,10.983244062657908
2713160.0,21595.435465587045,80,21595.435465587045,21595.435465587045,10.984453441295546,1966.0,0.0,10.0,10.984453441295546
